Jute,Autumn,Peaty,Mymensingh,September–October,2.1
Tea,Monsoon,Loamy,Khulna,June–July,0.8
Vegetables,Autumn,Loamy,Mymensingh,September–October,6.7
Tea,Monsoon,Clay,Chattogram,June–July,0.7
Rice,Winter,Loamy,Mymensingh,November–December,4.2
Vegetables,Winter,Clay,Chattogram,November–December,6.0
Jute,Autumn,Silt,Rajshahi,September–October,2.3
Tea,Autumn,Silt,Sylhet,September–October,0.8
Vegetables,Summer,Silt,Sylhet,March–April,6.7
Wheat,Autumn,Peaty,Sylhet,November–December,1.5
Jute,Autumn,Sandy,Chattogram,September–October,2.2
Tea,Autumn,Silt,Rangpur,September–October,0.8
Wheat,Monsoon,Clay,Dhaka,June–July,1.2
Jute,Winter,Loamy,Sylhet,October–November,2.2
Jute,Winter,Clay,Barishal,October–November,2.1
Vegetables,Summer,Sandy,Mymensingh,March–April,6.8
Wheat,Autumn,Loamy,Mymensingh,November–December,1.7
Tea,Summer,Loamy,Barishal,April–May,0.8
Wheat,Autumn,Silt,Mymensingh,November–December,1.5
Spices,Autumn,Clay,Dhaka,September–October,1.3
Wheat,Summer,Silt,Dhaka,February–March,1.5
Vegetables,Summer,Clay,Khulna,March–April,6.5
Tea,Autumn,Clay,Rangpur,September–October,0.8
Vegetables,Winter,Sandy,Barishal,November–December,6.0
Spices,Winter,Sandy,Rajshahi,November–December,1.2
Spices,Summer,Loamy,Khulna,March–April,1.3
Maize,Autumn,Sandy,Rangpur,September–October,3.4
Vegetables,Winter,Silt,Rangpur,November–December,6.3
Maize,Autumn,Clay,Rajshahi,September–October,3.5
Tea,Summer,Peaty,Chattogram,April–May,0.8
Rice,Summer,Peaty,Dhaka,April–May,3.9
Tea,Winter,Peaty,Rajshahi,November–December,0.9
Rice,Winter,Loamy,Rangpur,November–December,4.1
Vegetables,Winter,Sandy,Rangpur,November–December,6.2
Spices,Autumn,Peaty,Khulna,September–October,1.1
Maize,Autumn,Peaty,Rajshahi,September–October,3.4
Wheat,Monsoon,Loamy,Barishal,June–July,1.1
Spices,Monsoon,Loamy,Sylhet,July–August,1.3
Vegetables,Summer,Peaty,Chattogram,March–April,6.3
Tea,Autumn,Sandy,Sylhet,September–October,0.8
Spices,Autumn,Silt,Rajshahi,September–October,1.2
Maize,Winter,Loamy,Rajshahi,November–December,3.4
Wheat,Summer,Peaty,Chattogram,February–March,1.3
Wheat,Summer,Loamy,Chattogram,February–March,1.4
Vegetables,Winter,Clay,Chattogram,November–December,6.0
Rice,Winter,Silt,Rajshahi,November–December,4.0
Rice,Winter,Peaty,Dhaka,November–December,3.7
Maize,Summer,Peaty,Chattogram,February–March,3.3
Jute,Winter,Peaty,Rajshahi,October–November,2.0
Rice,Winter,Clay,Sylhet,November–December,3.6
Vegetables,Winter,Sandy,Mymensingh,November–December,6.1
Spices,Autumn,Clay,Khulna,September–October,1.2
Spices,Winter,Sandy,Mymensingh,November–December,1.1
Maize,Autumn,Peaty,Rangpur,September–October,3.3
Vegetables,Winter,Clay,Sylhet,November–December,5.9
Jute,Autumn,Loamy,Rangpur,September–October,2.3
Maize,Monsoon,Peaty,Khulna,June–July,3.1
Jute,Autumn,Clay,Barishal,September–October,2.2
Tea,Monsoon,Silt,Khulna,June–July,0.7
Rice,Autumn,Loamy,Sylhet,October–November,4.0
Maize,Summer,Sandy,Khulna,February–March,3.4
Wheat,Summer,Peaty,Dhaka,February–March,1.4
Rice,Winter,Loamy,Rajshahi,November–December,4.2
Rice,Summer,Sandy,Khulna,April–May,3.8
Spices,Summer,Loamy,Barishal,March–April,1.3
Rice,Winter,Clay,Barishal,November–December,4.0
Rice,Monsoon,Silt,Mymensingh,June–July,4.3
Tea,Summer,Loamy,Chattogram,April–May,0.8
Wheat,Winter,Loamy,Barishal,November–December,1.5
Jute,Autumn,Peaty,Barishal,September–October,2.1
Wheat,Monsoon,Clay,Rangpur,June–July,1.2
Jute,Summer,Peaty,Dhaka,March–April,2.2
Wheat,Winter,Peaty,Barishal,November–December,1.4
Tea,Autumn,Sandy,Barishal,September–October,0.7
Maize,Winter,Clay,Dhaka,November–December,3.2
Maize,Winter,Silt,Chattogram,November–December,3.1
Tea,Autumn,Loamy,Sylhet,September–October,0.8
Spices,Autumn,Silt,Rajshahi,September–October,1.2
Tea,Summer,Loamy,Chattogram,April–May,0.8
Spices,Winter,Silt,Khulna,November–December,1.1
Maize,Autumn,Sandy,Mymensingh,September–October,3.5
Jute,Summer,Sandy,Dhaka,March–April,2.3
Spices,Winter,Peaty,Barishal,March–April,1.1
Rice,Monsoon,Loamy,Khulna,June–July,4.4
Maize,Summer,Peaty,Khulna,February–March,3.2
Tea,Monsoon,Clay,Khulna,June–July,0.7
Spices,Summer,Sandy,Sylhet,March–April,1.3
Spices,Winter,Peaty,Chattogram,November–December,1.1
Jute,Autumn,Silt,Rangpur,September–October,2.3
Maize,Winter,Silt,Chattogram,November–December,3.1
Maize,Autumn,Peaty,Sylhet,September–October,3.2
Rice,Autumn,Loamy,Mymensingh,October–November,4.1
Jute,Autumn,Peaty,Mymensingh,September–October,2.1
Jute,Summer,Silt,Barishal,March–April,2.4
Spices,Winter,Sandy,Sylhet,November–December,1.1
Rice,Autumn,Silt,Sylhet,October–November,3.9
Jute,Summer,Peaty,Barishal,March–April,2.2
Vegetables,Autumn,Peaty,Khulna,September–October,6.2
Jute,Summer,Sandy,Khulna,March–April,2.2
Spices,Autumn,Silt,Mymensingh,September–October,1.3
Wheat,Monsoon,Clay,Mymensingh,June–July,1.2
